supplier_name,facility_name,risk_type,risk_level,timeframe,walk_free_vulnerability_score,walk_free_government_response_score,us_tip_report_tier,context
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Modern Slavery,Very Low,Baseline,6.0,67.0,Tier 1,Walk Free vulnerability score: 6.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Modern Slavery,Very Low,Baseline,14.0,50.0,Tier 2,Walk Free vulnerability score: 14.0/100; government response score: 50.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Modern Slavery,Very Low,Baseline,19.0,55.0,Tier 2,Walk Free vulnerability score: 19.0/100; government response score: 55.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Very Low.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Modern Slavery,High,Baseline,52.0,53.0,Tier 2 Watchlist,Walk Free vulnerability score: 52.0/100; government response score: 53.0/100 (indicating elevated structural vulnerability). US State Dept TIP Report: Tier 2 Watchlist (significant efforts but serious concerns). Baseline risk level: High.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Modern Slavery,High,Baseline,44.0,47.0,Tier 3,Walk Free vulnerability score: 44.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Modern Slavery,Low,Baseline,36.0,58.0,Tier 1,Walk Free vulnerability score: 36.0/100; government response score: 58.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Modern Slavery,Low,Baseline,36.0,58.0,Tier 1,Walk Free vulnerability score: 36.0/100; government response score: 58.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Toluca Plant,Modern Slavery,Medium,Baseline,58.0,55.0,Tier 2,Walk Free vulnerability score: 58.0/100; government response score: 55.0/100 (indicating elevated structural vulnerability). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Medium.
"GOJO Industries, Inc.",Global Headquarters,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",Lippman Campus (Stow),Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",Wooster Facility,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",Maple Heights Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",Ashland Dist. Center,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",Navarre Warehouse,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",GOJO France SARL,Modern Slavery,Very Low,Baseline,13.0,62.0,Tier 1,Walk Free vulnerability score: 13.0/100; government response score: 62.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.",GOJO Australasia,Modern Slavery,Very Low,Baseline,7.0,67.0,Tier 1,Walk Free vulnerability score: 7.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Modern Slavery,Very Low,Baseline,11.0,44.0,Tier 2,Walk Free vulnerability score: 11.0/100; government response score: 44.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Very Low.
"GOJO Industries, Inc.",GOJO América Latina,Modern Slavery,Medium,Baseline,47.0,51.0,Tier 2,Walk Free vulnerability score: 47.0/100; government response score: 51.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Medium.
"GOJO Industries, Inc.",GOJO Canada Inc.,Modern Slavery,Very Low,Baseline,11.0,60.0,Tier 1,Walk Free vulnerability score: 11.0/100; government response score: 60.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Modern Slavery,Very Low,Baseline,14.0,50.0,Tier 2,Walk Free vulnerability score: 14.0/100; government response score: 50.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Modern Slavery,Very Low,Baseline,11.0,62.0,Tier 1,Walk Free vulnerability score: 11.0/100; government response score: 62.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Modern Slavery,High,Baseline,44.0,47.0,Tier 3,Walk Free vulnerability score: 44.0/100; government response score: 47.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Modern Slavery,Medium,Baseline,46.0,55.0,Tier 2,Walk Free vulnerability score: 46.0/100; government response score: 55.0/100 (indicating moderate risk profile). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Medium.
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Modern Slavery,High,Baseline,46.0,40.0,Tier 3,Walk Free vulnerability score: 46.0/100; government response score: 40.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 3 (not making significant efforts — highest risk). Baseline risk level: High.
Perrigo Company,Global Headquarters,Modern Slavery,Very Low,Baseline,9.0,63.0,Tier 2,Walk Free vulnerability score: 9.0/100; government response score: 63.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Very Low.
Perrigo Company,N. American Corporate HQ,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Allegan Main Campus,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Allegan Water St Plant,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Eau Claire Facility,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,PBM Nutritionals (Vermont),Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Perrigo Direct Hub,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Omaha Logistics Center,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Perrigo Israel (Yeruham),Modern Slavery,Medium,Baseline,35.0,45.0,Tier 2,Walk Free vulnerability score: 35.0/100; government response score: 45.0/100 (indicating relatively weak government response). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Medium.
Perrigo Company,Perrigo Mexico,Modern Slavery,Medium,Baseline,58.0,55.0,Tier 2,Walk Free vulnerability score: 58.0/100; government response score: 55.0/100 (indicating elevated structural vulnerability). US State Dept TIP Report: Tier 2 (making significant efforts). Baseline risk level: Medium.
Perrigo Company,Wrafton Laboratories (UK),Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Galpharm International,Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,Rosemont Pharmaceuticals,Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,HRA Pharma Global HQ,Modern Slavery,Very Low,Baseline,13.0,62.0,Tier 1,Walk Free vulnerability score: 13.0/100; government response score: 62.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
Perrigo Company,HRA Pharma US,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Global Headquarters,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Celestial Seasonings,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Hain Personal Care Hub,Modern Slavery,Very Low,Baseline,25.0,67.0,Tier 1,Walk Free vulnerability score: 25.0/100; government response score: 67.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Hain Celestial Canada HQ,Modern Slavery,Very Low,Baseline,11.0,60.0,Tier 1,Walk Free vulnerability score: 11.0/100; government response score: 60.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Mississauga Facility,Modern Slavery,Very Low,Baseline,11.0,60.0,Tier 1,Walk Free vulnerability score: 11.0/100; government response score: 60.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Hain Daniels (Fakenham),Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
The Hain Celestial Group,Hain Daniels (Histon),Modern Slavery,Very Low,Baseline,14.0,68.0,Tier 1,Walk Free vulnerability score: 14.0/100; government response score: 68.0/100 (indicating low structural vulnerability and strong government response). US State Dept TIP Report: Tier 1 (fully compliant with TVPA minimum standards). Baseline risk level: Very Low.
