supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,probabilty_fire_weather_conditions,fire_ignition_probability
Garmin International,Garmin Singapore,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.010295; P(FWI > 20) projected = 0.000073; P(FWI > 50) historical mean (1975-2000) = 0.004586; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Garmin Birtley (UK),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000601; P(FWI > 20) projected = 0.021155; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000245; fire ignition probability = 0.000000.,2.1%,0.0%
Garmin International,Garmin Australasia,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.083672; P(FWI > 20) projected = 0.148902; P(FWI > 50) historical mean (1975-2000) = 0.004500; P(FWI > 50) projected = 0.003487; fire ignition probability = 0.142857.,14.9%,14.3%
Techtronic Industries,TTI Innovation Center,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004359; P(FWI > 20) projected = 0.001235; P(FWI > 50) historical mean (1975-2000) = 0.000260; P(FWI > 50) projected = 0.000002; fire ignition probability = 0.000000.,0.1%,0.0%
Techtronic Industries,Milwaukee Tool Global HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007557; P(FWI > 20) projected = 0.018730; P(FWI > 50) historical mean (1975-2000) = 0.001718; P(FWI > 50) projected = 0.000735; fire ignition probability = 0.000000.,1.9%,0.0%
Techtronic Industries,Milwaukee Tool Jackson Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.012693; P(FWI > 20) projected = 0.059500; P(FWI > 50) historical mean (1975-2000) = 0.000995; P(FWI > 50) projected = 0.008305; fire ignition probability = 0.000000.,5.9%,0.0%
Techtronic Industries,Milwaukee Tool Grenada Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.019321; P(FWI > 20) projected = 0.017312; P(FWI > 50) historical mean (1975-2000) = 0.003360; P(FWI > 50) projected = 0.000517; fire ignition probability = 0.000000.,1.7%,0.0%
Techtronic Industries,Milwaukee Tool Greenwood Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.040400; P(FWI > 20) projected = 0.024318; P(FWI > 50) historical mean (1975-2000) = 0.009211; P(FWI > 50) projected = 0.001457; fire ignition probability = 0.000000.,2.4%,0.0%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007206; P(FWI > 20) projected = 0.043595; P(FWI > 50) historical mean (1975-2000) = 0.000097; P(FWI > 50) projected = 0.012542; fire ignition probability = 0.000000.,4.4%,0.0%
Techtronic Industries,Milwaukee Tool Clinton Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.048822; P(FWI > 20) projected = 0.097530; P(FWI > 50) historical mean (1975-2000) = 0.023839; P(FWI > 50) projected = 0.014018; fire ignition probability = 0.000000.,9.8%,0.0%
Techtronic Industries,Milwaukee Tool West Bend,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001279; P(FWI > 20) projected = 0.052847; P(FWI > 50) historical mean (1975-2000) = 0.000002; P(FWI > 50) projected = 0.011295; fire ignition probability = 0.000000.,5.3%,0.0%
Techtronic Industries,Empire Level (Subsidiary),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002994; P(FWI > 20) projected = 0.005698; P(FWI > 50) historical mean (1975-2000) = 0.000055; P(FWI > 50) projected = 0.000022; fire ignition probability = 0.000000.,0.6%,0.0%
Techtronic Industries,Milwaukee Tool Torreon,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 0.999998; P(FWI > 50) historical mean (1975-2000) = 0.331835; P(FWI > 50) projected = 0.824547; fire ignition probability = 0.000000.,100.0%,0.0%
Techtronic Industries,TTI Floor Care N.A.,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000680; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.1%,0.0%
Techtronic Industries,TTI Dongguan Hub,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020540; P(FWI > 20) projected = 0.000087; P(FWI > 50) historical mean (1975-2000) = 0.000411; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Vietnam (SHTP),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.629029; P(FWI > 20) projected = 0.642870; P(FWI > 50) historical mean (1975-2000) = 0.000290; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,64.3%,0.0%
Techtronic Industries,DreBo Werkzeugfabrik,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004208; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.001809; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Ryobi Die Casting (USA),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001540; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000038; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Global Corporate HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.013983; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000140; fire ignition probability = 0.000000.,1.4%,0.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.013983; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000140; fire ignition probability = 0.000000.,1.4%,0.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000578; P(FWI > 20) projected = 0.043452; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.005237; fire ignition probability = 0.000000.,4.3%,0.0%
S.C. Johnson & Son Inc.,North America HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002511; P(FWI > 20) projected = 0.009563; P(FWI > 50) historical mean (1975-2000) = 0.000180; P(FWI > 50) projected = 0.000012; fire ignition probability = 0.000000.,1.0%,0.0%
S.C. Johnson & Son Inc.,Method Soapbox,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000878; P(FWI > 20) projected = 0.013867; P(FWI > 50) historical mean (1975-2000) = 0.000007; P(FWI > 50) projected = 0.000265; fire ignition probability = 0.000000.,1.4%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.012047; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000335; fire ignition probability = 0.000000.,1.2%,0.0%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.024793; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.002110; fire ignition probability = 0.000000.,2.5%,0.0%
S.C. Johnson & Son Inc.,SCJ Europlant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008382; P(FWI > 20) projected = 0.000005; P(FWI > 50) historical mean (1975-2000) = 0.003211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000226; P(FWI > 20) projected = 0.035317; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.003340; fire ignition probability = 0.000000.,3.5%,0.0%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007798; P(FWI > 20) projected = 0.053635; P(FWI > 50) historical mean (1975-2000) = 0.000185; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,5.4%,0.0%
S.C. Johnson & Son Inc.,Rosslyn Factory,Wildfire,Very High,High,Improving,Within 5 Years,All SSP scenarios consistently project Very High wildfire risk. Projected reduction in wildfire risk relative to historical baseline. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999854; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.026984; P(FWI > 50) projected = 0.059667; fire ignition probability = 1.000000.,100.0%,100.0%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007315; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.001013; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Wildfire,Very Low,Medium,Improving,Within 5 Years,Historical and projected fire weather data indicate a marginal improvement trend at this location. Very Low wildfire risk classification expected to be maintained or improve over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.672727; P(FWI > 20) projected = 0.690778; P(FWI > 50) historical mean (1975-2000) = 0.000137; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,69.1%,7.1%
S.C. Johnson & Son Inc.,LATAM Regional HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.066973; P(FWI > 20) projected = 0.020487; P(FWI > 50) historical mean (1975-2000) = 0.020628; P(FWI > 50) projected = 0.000180; fire ignition probability = 0.000000.,2.0%,0.0%
S.C. Johnson & Son Inc.,Pilar Manufacturing,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024660; P(FWI > 20) projected = 0.019712; P(FWI > 50) historical mean (1975-2000) = 0.002378; P(FWI > 50) projected = 0.000002; fire ignition probability = 0.000000.,2.0%,0.0%
S.C. Johnson & Son Inc.,Toluca Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.041625; P(FWI > 20) projected = 0.255962; P(FWI > 50) historical mean (1975-2000) = 0.001491; P(FWI > 50) projected = 0.018467; fire ignition probability = 0.000000.,25.6%,0.0%
GOJO Industries Inc.,Global Headquarters,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001016; P(FWI > 20) projected = 0.015912; P(FWI > 50) historical mean (1975-2000) = 0.000010; P(FWI > 50) projected = 0.000315; fire ignition probability = 0.000000.,1.6%,0.0%
GOJO Industries Inc.,Lippman Campus (Stow),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.031544; P(FWI > 20) projected = 0.025915; P(FWI > 50) historical mean (1975-2000) = 0.015664; P(FWI > 50) projected = 0.002825; fire ignition probability = 0.000000.,2.6%,0.0%
GOJO Industries Inc.,Cuyahoga Falls Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001016; P(FWI > 20) projected = 0.015912; P(FWI > 50) historical mean (1975-2000) = 0.000010; P(FWI > 50) projected = 0.000315; fire ignition probability = 0.000000.,1.6%,0.0%
GOJO Industries Inc.,Wooster Facility,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.012435; P(FWI > 20) projected = 0.002055; P(FWI > 50) historical mean (1975-2000) = 0.005768; P(FWI > 50) projected = 0.000018; fire ignition probability = 0.000000.,0.2%,0.0%
GOJO Industries Inc.,Maple Heights Plant,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004294; P(FWI > 20) projected = 0.005682; P(FWI > 50) historical mean (1975-2000) = 0.000548; P(FWI > 50) projected = 0.000047; fire ignition probability = 0.000000.,0.6%,0.0%
GOJO Industries Inc.,Ashland Dist. Center,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.011112; P(FWI > 20) projected = 0.015583; P(FWI > 50) historical mean (1975-2000) = 0.002646; P(FWI > 50) projected = 0.002457; fire ignition probability = 0.000000.,1.6%,0.0%
GOJO Industries Inc.,Navarre Warehouse,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000781; P(FWI > 20) projected = 0.003238; P(FWI > 50) historical mean (1975-2000) = 0.000005; P(FWI > 50) projected = 0.000092; fire ignition probability = 0.000000.,0.3%,0.0%
GOJO Industries Inc.,GOJO Europe (UK HQ),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.005290; P(FWI > 20) projected = 0.001440; P(FWI > 50) historical mean (1975-2000) = 0.000156; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.1%,0.0%
GOJO Industries Inc.,GOJO France SARL,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.029450; P(FWI > 20) projected = 0.000975; P(FWI > 50) historical mean (1975-2000) = 0.010494; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.1%,0.0%
GOJO Industries Inc.,GOJO Australasia,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.081741; P(FWI > 20) projected = 0.207513; P(FWI > 50) historical mean (1975-2000) = 0.017679; P(FWI > 50) projected = 0.090680; fire ignition probability = 0.000000.,20.8%,0.0%
GOJO Industries Inc.,GOJO Japan Inc.,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000001; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO América Latina,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.009154; P(FWI > 20) projected = 0.026620; P(FWI > 50) historical mean (1975-2000) = 0.000273; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,2.7%,0.0%
GOJO Industries Inc.,GOJO Canada Inc.,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000244; P(FWI > 20) projected = 0.027965; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.005860; fire ignition probability = 0.000000.,2.8%,0.0%
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000832; P(FWI > 20) projected = 0.000468; P(FWI > 50) historical mean (1975-2000) = 0.000006; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000680; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.1%,0.0%
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002005; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000171; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000472; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000021; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999984; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,100.0%,0.0%
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Wildfire,Very Low,High,Stable,Within 5 Years,SSP scenarios consistently project Very Low wildfire risk at this location. No material change in fire weather hazard expected over the 5-year horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001597; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000082; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
