supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,probabilty_fire_weather_conditions,fire_ignition_probability
Garmin International,Garmin Singapore,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.010295; P(FWI > 20) projected = 0.012660; P(FWI > 50) historical mean (1975-2000) = 0.004586; P(FWI > 50) projected = 0.000540; fire ignition probability = 0.000000.,1.3%,0.0%
Garmin International,Garmin Birtley (UK),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000601; P(FWI > 20) projected = 0.000030; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Garmin Australasia,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.083672; P(FWI > 20) projected = 0.057760; P(FWI > 50) historical mean (1975-2000) = 0.004500; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.142857.,5.8%,14.3%
Techtronic Industries,TTI Innovation Center,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004359; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000260; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Milwaukee Tool Global HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007557; P(FWI > 20) projected = 0.082160; P(FWI > 50) historical mean (1975-2000) = 0.001718; P(FWI > 50) projected = 0.024200; fire ignition probability = 0.000000.,8.2%,0.0%
Techtronic Industries,Milwaukee Tool Jackson Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.012693; P(FWI > 20) projected = 0.005570; P(FWI > 50) historical mean (1975-2000) = 0.000995; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.6%,0.0%
Techtronic Industries,Milwaukee Tool Grenada Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.019321; P(FWI > 20) projected = 0.014870; P(FWI > 50) historical mean (1975-2000) = 0.003360; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,1.5%,0.0%
Techtronic Industries,Milwaukee Tool Greenwood Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.040400; P(FWI > 20) projected = 0.025370; P(FWI > 50) historical mean (1975-2000) = 0.009211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,2.5%,0.0%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007206; P(FWI > 20) projected = 0.014050; P(FWI > 50) historical mean (1975-2000) = 0.000097; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,1.4%,0.0%
Techtronic Industries,Milwaukee Tool Clinton Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.048822; P(FWI > 20) projected = 0.010250; P(FWI > 50) historical mean (1975-2000) = 0.023839; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,1.0%,0.0%
Techtronic Industries,Milwaukee Tool West Bend,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001279; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000002; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Empire Level (Subsidiary),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002994; P(FWI > 20) projected = 0.073680; P(FWI > 50) historical mean (1975-2000) = 0.000055; P(FWI > 50) projected = 0.019490; fire ignition probability = 0.000000.,7.4%,0.0%
Techtronic Industries,Milwaukee Tool Torreon,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.331835; P(FWI > 50) projected = 0.211000; fire ignition probability = 0.000000.,100.0%,0.0%
Techtronic Industries,TTI Floor Care N.A.,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Dongguan Hub,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020540; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000411; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Vietnam (SHTP),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.629029; P(FWI > 20) projected = 0.696010; P(FWI > 50) historical mean (1975-2000) = 0.000290; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,69.6%,0.0%
Techtronic Industries,DreBo Werkzeugfabrik,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004208; P(FWI > 20) projected = 0.006640; P(FWI > 50) historical mean (1975-2000) = 0.001809; P(FWI > 50) projected = 0.000030; fire ignition probability = 0.000000.,0.7%,0.0%
Techtronic Industries,Ryobi Die Casting (USA),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001540; P(FWI > 20) projected = 0.010650; P(FWI > 50) historical mean (1975-2000) = 0.000038; P(FWI > 50) projected = 0.000010; fire ignition probability = 0.000000.,1.1%,0.0%
S.C. Johnson & Son Inc.,Global Corporate HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000578; P(FWI > 20) projected = 0.002240; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.2%,0.0%
S.C. Johnson & Son Inc.,North America HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002511; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000180; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Method Soapbox,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000878; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000007; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SCJ Europlant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008382; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.003211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000226; P(FWI > 20) projected = 0.056610; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.002930; fire ignition probability = 0.000000.,5.7%,0.0%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007798; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000185; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Rosslyn Factory,Wildfire,Critical,,,Baseline,Historical fire weather analysis assigns Critical wildfire risk to this location. Facility handles or produces flammable/combustible materials amplifying potential fire consequences. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999854; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.026984; P(FWI > 50) projected = 0.000000; fire ignition probability = 1.000000.,100.0%,100.0%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007315; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.001013; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Wildfire,Low,,,Baseline,Historical fire weather analysis assigns Low wildfire risk to this location. Facility handles or produces flammable/combustible materials amplifying potential fire consequences. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.672727; P(FWI > 20) projected = 0.756690; P(FWI > 50) historical mean (1975-2000) = 0.000137; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,75.7%,7.1%
S.C. Johnson & Son Inc.,LATAM Regional HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.066973; P(FWI > 20) projected = 0.131370; P(FWI > 50) historical mean (1975-2000) = 0.020628; P(FWI > 50) projected = 0.004530; fire ignition probability = 0.000000.,13.1%,0.0%
S.C. Johnson & Son Inc.,Pilar Manufacturing,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024660; P(FWI > 20) projected = 0.078930; P(FWI > 50) historical mean (1975-2000) = 0.002378; P(FWI > 50) projected = 0.002930; fire ignition probability = 0.000000.,7.9%,0.0%
S.C. Johnson & Son Inc.,Toluca Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.041625; P(FWI > 20) projected = 0.087220; P(FWI > 50) historical mean (1975-2000) = 0.001491; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,8.7%,0.0%
GOJO Industries Inc.,Global Headquarters,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001016; P(FWI > 20) projected = 0.000030; P(FWI > 50) historical mean (1975-2000) = 0.000010; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Lippman Campus (Stow),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.031544; P(FWI > 20) projected = 0.000020; P(FWI > 50) historical mean (1975-2000) = 0.015664; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Cuyahoga Falls Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001016; P(FWI > 20) projected = 0.000030; P(FWI > 50) historical mean (1975-2000) = 0.000010; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Wooster Facility,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.012435; P(FWI > 20) projected = 0.000070; P(FWI > 50) historical mean (1975-2000) = 0.005768; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Maple Heights Plant,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004294; P(FWI > 20) projected = 0.000010; P(FWI > 50) historical mean (1975-2000) = 0.000548; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Ashland Dist. Center,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.011112; P(FWI > 20) projected = 0.000020; P(FWI > 50) historical mean (1975-2000) = 0.002646; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,Navarre Warehouse,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000781; P(FWI > 20) projected = 0.000160; P(FWI > 50) historical mean (1975-2000) = 0.000005; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO Europe (UK HQ),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.005290; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000156; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO France SARL,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.029450; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.010494; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO Australasia,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.081741; P(FWI > 20) projected = 0.047240; P(FWI > 50) historical mean (1975-2000) = 0.017679; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,4.7%,0.0%
GOJO Industries Inc.,GOJO Japan Inc.,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000001; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
GOJO Industries Inc.,GOJO América Latina,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.009154; P(FWI > 20) projected = 0.001830; P(FWI > 50) historical mean (1975-2000) = 0.000273; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.2%,0.0%
GOJO Industries Inc.,GOJO Canada Inc.,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000244; P(FWI > 20) projected = 0.000600; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.1%,0.0%
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000832; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000006; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002005; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000171; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000472; P(FWI > 20) projected = 0.000010; P(FWI > 50) historical mean (1975-2000) = 0.000021; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999984; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,100.0%,0.0%
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001597; P(FWI > 20) projected = 0.000710; P(FWI > 50) historical mean (1975-2000) = 0.000082; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.1%,0.0%
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.005317; P(FWI > 20) projected = 0.053230; P(FWI > 50) historical mean (1975-2000) = 0.000188; P(FWI > 50) projected = 0.009120; fire ignition probability = 0.000000.,5.3%,0.0%
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.043621; P(FWI > 20) projected = 0.000010; P(FWI > 50) historical mean (1975-2000) = 0.006134; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.026245; P(FWI > 20) projected = 0.000380; P(FWI > 50) historical mean (1975-2000) = 0.004266; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Wildfire,High,,,Baseline,Historical fire weather analysis assigns High wildfire risk to this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.995337; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.000682; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.500000.,100.0%,50.0%
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000832; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000006; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.013612; P(FWI > 20) projected = 0.114220; P(FWI > 50) historical mean (1975-2000) = 0.000016; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,11.4%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001401; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000022; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.028660; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.014727; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Perrigo Company,Global Headquarters,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008172; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.002311; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Perrigo Company,N. American Corporate HQ,Wildfire,Very Low,,,Baseline,Historical fire weather data indicates very low wildfire risk at this location. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.003123; P(FWI > 20) projected = 0.000010; P(FWI > 50) historical mean (1975-2000) = 0.000016; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
