supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_prob_category_1_percent,annual_prob_category_5_percent
Garmin International,Garmin Singapore,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.25%. Annual probability of Category 5 storm impact: 0.00%.,0.25%,0.0%
Garmin International,Garmin Birtley (UK),Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.41%. Annual probability of Category 5 storm impact: 0.00%.,0.41%,0.0%
Garmin International,Garmin Australasia,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.59%. Annual probability of Category 5 storm impact: 0.019%.,0.59%,0.019%
Techtronic Industries,TTI Innovation Center,Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 7.27%. Annual probability of Category 5 storm impact: 0.046%.,7.27%,0.046%
Techtronic Industries,Milwaukee Tool Global HQ,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.45%. Annual probability of Category 5 storm impact: 0.00%.,0.45%,0.0%
Techtronic Industries,Milwaukee Tool Jackson Plant,Tropical Storm,High,High,High,Within 5 Years,All SSP scenarios consistently project High risk. Annual probability of Category 1+ storm impact: 10.20%. Annual probability of Category 5 storm impact: 0.33%.,10.2%,0.33%
Techtronic Industries,Milwaukee Tool Grenada Plant,Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 8.30%. Annual probability of Category 5 storm impact: 0.15%.,8.3%,0.15%
Techtronic Industries,Milwaukee Tool Greenwood Plant,Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 6.86%. Annual probability of Category 5 storm impact: 0.023%.,6.86%,0.023%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Tropical Storm,Low,Low,Low,Within 5 Years,SSP scenarios project risk ranging from Low to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 5.00%. Annual probability of Category 5 storm impact: 0.14%.,5.0%,0.14%
Techtronic Industries,Milwaukee Tool Clinton Plant,Tropical Storm,High,High,High,Within 5 Years,All SSP scenarios consistently project High risk. Annual probability of Category 1+ storm impact: 10.20%. Annual probability of Category 5 storm impact: 0.33%.,10.2%,0.33%
Techtronic Industries,Milwaukee Tool West Bend,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.45%. Annual probability of Category 5 storm impact: 0.00%.,0.45%,0.0%
Techtronic Industries,Empire Level (Subsidiary),Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Low reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 1.15%. Annual probability of Category 5 storm impact: 0.14%.,1.15%,0.14%
Techtronic Industries,Milwaukee Tool Torreon,Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from High to Very High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 8.69%. Annual probability of Category 5 storm impact: 0.98%.,8.69%,0.98%
Techtronic Industries,TTI Floor Care N.A.,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 8.61%. Annual probability of Category 5 storm impact: 0.011%.,8.61%,0.011%
Techtronic Industries,TTI Dongguan Hub,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 62.92%. Annual probability of Category 5 storm impact: 3.31%.,62.92%,3.31%
Techtronic Industries,TTI Vietnam (SHTP),Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.78%. Annual probability of Category 5 storm impact: 0.27%.,4.78%,0.27%
Techtronic Industries,DreBo Werkzeugfabrik,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Techtronic Industries,Ryobi Die Casting (USA),Tropical Storm,Low,High,High,Within 5 Years,All SSP scenarios consistently project Low risk. Annual probability of Category 1+ storm impact: 1.35%. Annual probability of Category 5 storm impact: 0.060%.,1.35%,0.06%
S.C. Johnson & Son Inc.,Global Corporate HQ,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.82%. Annual probability of Category 5 storm impact: 0.00%.,0.82%,0.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.82%. Annual probability of Category 5 storm impact: 0.00%.,0.82%,0.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Tropical Storm,Low,High,High,Within 5 Years,All SSP scenarios consistently project Low risk. Annual probability of Category 1+ storm impact: 1.45%. Annual probability of Category 5 storm impact: 0.00%.,1.45%,0.0%
S.C. Johnson & Son Inc.,North America HQ,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Low reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 0.97%. Annual probability of Category 5 storm impact: 0.00%.,0.97%,0.0%
S.C. Johnson & Son Inc.,Method Soapbox,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Low reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 0.97%. Annual probability of Category 5 storm impact: 0.00%.,0.97%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 8.61%. Annual probability of Category 5 storm impact: 0.011%.,8.61%,0.011%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 7.69%. Annual probability of Category 5 storm impact: 0.0082%.,7.69%,0.0082%
S.C. Johnson & Son Inc.,SCJ Europlant,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
S.C. Johnson & Son Inc.,Rosslyn Factory,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.45%. Annual probability of Category 5 storm impact: 0.010%.,0.45%,0.01%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 45.15%. Annual probability of Category 5 storm impact: 1.02%.,45.15%,1.02%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.78%. Annual probability of Category 5 storm impact: 0.27%.,4.78%,0.27%
S.C. Johnson & Son Inc.,LATAM Regional HQ,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.42%. Annual probability of Category 5 storm impact: 0.00%.,0.42%,0.0%
S.C. Johnson & Son Inc.,Pilar Manufacturing,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.30%. Annual probability of Category 5 storm impact: 0.00%.,0.3%,0.0%
S.C. Johnson & Son Inc.,Toluca Plant,Tropical Storm,Very High,Low,Low,Within 5 Years,SSP scenarios project risk ranging from Medium to Very High reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 11.63%. Annual probability of Category 5 storm impact: 4.54%.,11.63%,4.54%
GOJO Industries Inc.,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.82%. Annual probability of Category 5 storm impact: 0.0077%.,2.82%,0.0077%
GOJO Industries Inc.,Lippman Campus (Stow),Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.82%. Annual probability of Category 5 storm impact: 0.0077%.,2.82%,0.0077%
GOJO Industries Inc.,Cuyahoga Falls Plant,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.82%. Annual probability of Category 5 storm impact: 0.0077%.,2.82%,0.0077%
GOJO Industries Inc.,Wooster Facility,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Low reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.28%. Annual probability of Category 5 storm impact: 0.095%.,2.28%,0.095%
GOJO Industries Inc.,Maple Heights Plant,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.82%. Annual probability of Category 5 storm impact: 0.0077%.,2.82%,0.0077%
GOJO Industries Inc.,Ashland Dist. Center,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 1.03%. Annual probability of Category 5 storm impact: 0.045%.,1.03%,0.045%
GOJO Industries Inc.,Navarre Warehouse,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Low reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.28%. Annual probability of Category 5 storm impact: 0.095%.,2.28%,0.095%
GOJO Industries Inc.,GOJO Europe (UK HQ),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.32%. Annual probability of Category 5 storm impact: 0.00%.,0.32%,0.0%
GOJO Industries Inc.,GOJO France SARL,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
GOJO Industries Inc.,GOJO Australasia,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.59%. Annual probability of Category 5 storm impact: 0.00%.,2.59%,0.0%
GOJO Industries Inc.,GOJO Japan Inc.,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 83.27%. Annual probability of Category 5 storm impact: 2.41%.,83.27%,2.41%
GOJO Industries Inc.,GOJO América Latina,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.44%. Annual probability of Category 5 storm impact: 0.00%.,0.44%,0.0%
GOJO Industries Inc.,GOJO Canada Inc.,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.88%. Annual probability of Category 5 storm impact: 0.00%.,2.88%,0.0%
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 32.58%. Annual probability of Category 5 storm impact: 1.37%.,32.58%,1.37%
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 8.61%. Annual probability of Category 5 storm impact: 0.011%.,8.61%,0.011%
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 6.14%. Annual probability of Category 5 storm impact: 0.015%.,6.14%,0.015%
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Tropical Storm,Medium,Low,Low,Within 5 Years,SSP scenarios project risk ranging from Very Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.62%. Annual probability of Category 5 storm impact: 0.00%.,4.62%,0.0%
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 44.10%. Annual probability of Category 5 storm impact: 0.00%.,44.1%,0.0%
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 62.92%. Annual probability of Category 5 storm impact: 3.31%.,62.92%,3.31%
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 39.31%. Annual probability of Category 5 storm impact: 5.27%.,39.31%,5.27%
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 5.37%. Annual probability of Category 5 storm impact: 0.84%.,5.37%,0.84%
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 32.58%. Annual probability of Category 5 storm impact: 1.37%.,32.58%,1.37%
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Tropical Storm,Low,High,High,Within 5 Years,All SSP scenarios consistently project Low risk. Annual probability of Category 1+ storm impact: 1.76%. Annual probability of Category 5 storm impact: 0.00%.,1.76%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Tropical Storm,Very High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from High to Very High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 17.73%. Annual probability of Category 5 storm impact: 0.59%.,17.73%,0.59%
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 32.58%. Annual probability of Category 5 storm impact: 1.37%.,32.58%,1.37%
Perrigo Company,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Perrigo Company,N. American Corporate HQ,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.23%. Annual probability of Category 5 storm impact: 0.090%.,0.23%,0.09%
Perrigo Company,Allegan Main Campus,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.23%. Annual probability of Category 5 storm impact: 0.090%.,0.23%,0.09%
Perrigo Company,Allegan Water St Plant,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.23%. Annual probability of Category 5 storm impact: 0.090%.,0.23%,0.09%
Perrigo Company,Eau Claire Facility,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.25%. Annual probability of Category 5 storm impact: 0.00%.,0.25%,0.0%
Perrigo Company,PBM Nutritionals (Vermont),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Low reflecting uncertainty in future storm frequency and intensity. Signal of reducing risk relative to baseline possibly from shifting storm tracks. Annual probability of Category 1+ storm impact: 0.85%. Annual probability of Category 5 storm impact: 0.00%.,0.85%,0.0%
Perrigo Company,Perrigo Direct Hub,Tropical Storm,High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 5.62%. Annual probability of Category 5 storm impact: 0.15%.,5.62%,0.15%
Perrigo Company,Omaha Logistics Center,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.20%. Annual probability of Category 5 storm impact: 0.00%.,0.2%,0.0%
Perrigo Company,Perrigo Israel (Yeruham),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.15%. Annual probability of Category 5 storm impact: 0.00%.,0.15%,0.0%
Perrigo Company,Perrigo Mexico,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 6.13%. Annual probability of Category 5 storm impact: 0.50%.,6.13%,0.5%
Perrigo Company,Wrafton Laboratories (UK),Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.60%. Annual probability of Category 5 storm impact: 0.00%.,0.6%,0.0%
Perrigo Company,Galpharm International,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.84%. Annual probability of Category 5 storm impact: 0.00%.,0.84%,0.0%
Perrigo Company,Rosemont Pharmaceuticals,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.84%. Annual probability of Category 5 storm impact: 0.00%.,0.84%,0.0%
Perrigo Company,HRA Pharma Global HQ,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Perrigo Company,HRA Pharma US,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 6.14%. Annual probability of Category 5 storm impact: 0.015%.,6.14%,0.015%
The Hain Celestial Group,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 6.14%. Annual probability of Category 5 storm impact: 0.015%.,6.14%,0.015%
The Hain Celestial Group,Celestial Seasonings,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.30%. Annual probability of Category 5 storm impact: 0.00%.,0.3%,0.0%
The Hain Celestial Group,Hain Personal Care Hub,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 44.10%. Annual probability of Category 5 storm impact: 0.00%.,44.1%,0.0%
The Hain Celestial Group,Hain Celestial Canada HQ,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.88%. Annual probability of Category 5 storm impact: 0.00%.,2.88%,0.0%
The Hain Celestial Group,Mississauga Facility,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Very Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.88%. Annual probability of Category 5 storm impact: 0.00%.,2.88%,0.0%
The Hain Celestial Group,Hain Daniels (Fakenham),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Hain Daniels (Histon),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
