,supplier_name,facility_name,risk_type,risk_level,timeframe,price_change
49,"GOJO Industries, Inc.",Ashland Dist. Center,Energy Price,medium,Within 12 Months,1.5%
50,"GOJO Industries, Inc.",Navarre Warehouse,Energy Price,medium,Within 12 Months,1.5%
51,"GOJO Industries, Inc.",GOJO Europe (UK HQ),Energy Price,medium,Within 12 Months,0.7%
52,"GOJO Industries, Inc.",GOJO France SARL,Energy Price,medium,Within 12 Months,0.7%
53,"GOJO Industries, Inc.",GOJO Australasia,Energy Price,low,Within 12 Months,2.3%
54,"GOJO Industries, Inc.","GOJO Japan, Inc.",Energy Price,medium,Within 12 Months,1.5%
55,"GOJO Industries, Inc.",GOJO América Latina,Energy Price,low,Within 12 Months,1.0%
56,"GOJO Industries, Inc.",GOJO Canada Inc.,Energy Price,medium,Within 12 Months,1.2%
57,Hangzhou Greatstar Industrial.Co.,Global Headquarters,Energy Price,low,Within 12 Months,1.8%
58,Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Energy Price,medium,Within 12 Months,1.5%
59,Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Energy Price,medium,Within 12 Months,1.5%
60,Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Energy Price,medium,Within 12 Months,1.5%
61,Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Energy Price,medium,Within 12 Months,1.5%
62,Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Energy Price,very_low,Within 12 Months,0.5%
63,Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Energy Price,medium,Within 12 Months,0.7%
64,Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Energy Price,low,Within 12 Months,1.8%
65,Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Energy Price,low,Within 12 Months,2.2%
66,Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Energy Price,low,Within 12 Months,2.2%
67,Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Energy Price,low,Within 12 Months,1.8%
68,Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Energy Price,medium,Within 12 Months,1.5%
69,Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Energy Price,low,Within 12 Months,1.8%
70,Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Energy Price,low,Within 12 Months,1.8%
71,Perrigo Company,Global Headquarters,Energy Price,medium,Within 12 Months,0.7%
72,Perrigo Company,N. American Corporate HQ,Energy Price,medium,Within 12 Months,1.5%
73,Perrigo Company,Allegan Main Campus,Energy Price,medium,Within 12 Months,1.5%
74,Perrigo Company,Allegan Water St Plant,Energy Price,medium,Within 12 Months,1.5%
75,Perrigo Company,Eau Claire Facility,Energy Price,medium,Within 12 Months,1.5%
76,Perrigo Company,PBM Nutritionals (Vermont),Energy Price,medium,Within 12 Months,1.5%
77,Perrigo Company,Perrigo Direct Hub,Energy Price,medium,Within 12 Months,1.5%
78,Perrigo Company,Omaha Logistics Center,Energy Price,medium,Within 12 Months,1.5%
79,Perrigo Company,Perrigo Israel (Yeruham),Energy Price,high,Within 12 Months,0.2%
80,Perrigo Company,Perrigo Mexico,Energy Price,low,Within 12 Months,1.1%
81,Perrigo Company,Wrafton Laboratories (UK),Energy Price,medium,Within 12 Months,0.7%
82,Perrigo Company,Galpharm International,Energy Price,medium,Within 12 Months,0.7%
83,Perrigo Company,Rosemont Pharmaceuticals,Energy Price,medium,Within 12 Months,0.7%
84,Perrigo Company,HRA Pharma Global HQ,Energy Price,medium,Within 12 Months,0.7%
85,Perrigo Company,HRA Pharma US,Energy Price,medium,Within 12 Months,1.5%
86,The Hain Celestial Group,Global Headquarters,Energy Price,medium,Within 12 Months,1.5%
87,The Hain Celestial Group,Celestial Seasonings,Energy Price,medium,Within 12 Months,1.5%
88,The Hain Celestial Group,Hain Personal Care Hub,Energy Price,medium,Within 12 Months,1.5%
89,The Hain Celestial Group,Hain Celestial Canada HQ,Energy Price,medium,Within 12 Months,1.2%
90,The Hain Celestial Group,Mississauga Facility,Energy Price,medium,Within 12 Months,1.2%
91,The Hain Celestial Group,Hain Daniels (Fakenham),Energy Price,medium,Within 12 Months,0.7%
92,The Hain Celestial Group,Hain Daniels (Histon),Energy Price,medium,Within 12 Months,0.7%
93,The Hain Celestial Group,Fresh Innovation Centre,Energy Price,medium,Within 12 Months,0.7%
94,The Hain Celestial Group,Ella’s Kitchen HQ,Energy Price,medium,Within 12 Months,0.7%
95,The Hain Celestial Group,Natumi GmbH,Energy Price,medium,Within 12 Months,0.7%
96,The Hain Celestial Group,Mona Naturprodukte (Joya),Energy Price,medium,Within 12 Months,0.7%
97,The Hain Celestial Group,Cully & Sully,Energy Price,medium,Within 12 Months,0.7%
98,The Hain Celestial Group,Yorkshire Provender,Energy Price,medium,Within 12 Months,0.7%
99,ZURU LLC.,ZURU Global HQ,Energy Price,low,Within 12 Months,1.8%
100,ZURU LLC.,ZURU US Flagship Campus,Energy Price,medium,Within 12 Months,1.5%
101,ZURU LLC.,ZURU Shenzhen Hub,Energy Price,low,Within 12 Months,1.8%
102,ZURU LLC.,ZURU Huizhou Smart Factory,Energy Price,low,Within 12 Months,1.8%
103,ZURU LLC.,ZURU Guangzhou Plant,Energy Price,low,Within 12 Months,1.8%
104,ZURU LLC.,ZURU New Zealand HQ,Energy Price,low,Within 12 Months,2.3%
105,ZURU LLC.,ZURU Tech Italy (Modena),Energy Price,medium,Within 12 Months,0.7%
106,ZURU LLC.,ZURU Tech India (Ahmedabad),Energy Price,very_high,Within 12 Months,2.6%
107,ZURU LLC.,ZURU Tech India (Kolkata),Energy Price,very_high,Within 12 Months,2.6%
108,ZURU LLC.,ZURU Bentonville Office,Energy Price,medium,Within 12 Months,1.5%
109,ZURU LLC.,ZURU Tech Italy (Milan),Energy Price,medium,Within 12 Months,0.7%
110,ZURU LLC.,ZURU Dongguan Tech Center,Energy Price,low,Within 12 Months,1.8%
111,John Paul Mitchell Systems,Global Headquarters,Energy Price,medium,Within 12 Months,1.5%
112,John Paul Mitchell Systems,JPMS Creative Center,Energy Price,medium,Within 12 Months,1.5%
113,John Paul Mitchell Systems,Santa Clarita DC,Energy Price,medium,Within 12 Months,1.5%
114,John Paul Mitchell Systems,The Awapuhi Farm,Energy Price,medium,Within 12 Months,1.5%
115,John Paul Mitchell Systems,JPMS UK (Salon Success),Energy Price,medium,Within 12 Months,0.7%
116,John Paul Mitchell Systems,JPMS European Hub,Energy Price,very_low,Within 12 Months,0.5%
117,John Paul Mitchell Systems,Pro-motive (Subsidiary),Energy Price,medium,Within 12 Months,1.5%
118,John Paul Mitchell Systems,Distribution Center East,Energy Price,medium,Within 12 Months,1.5%
119,"Natural Organics, Inc.",Global Headquarters,Energy Price,medium,Within 12 Months,1.5%
120,"Natural Organics, Inc.",Melville Manufacturing,Energy Price,medium,Within 12 Months,1.5%
121,"Natural Organics, Inc.","The ""Pharma-Lab""",Energy Price,medium,Within 12 Months,1.5%
122,"Natural Organics, Inc.",Melville Distribution,Energy Price,medium,Within 12 Months,1.5%
123,"Natural Organics, Inc.",Amityville Facility,Energy Price,medium,Within 12 Months,1.5%
124,"Natural Organics, Inc.",Nature’s Plus UK,Energy Price,medium,Within 12 Months,0.7%
125,"Natural Organics, Inc.",Euro-Nutrition Hub,Energy Price,medium,Within 12 Months,0.7%
