supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_prob_category_1_percent,annual_prob_category_5_percent
Techtronic Industries,Milwaukee Tool Jackson Plant,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 6.78%. Annual probability of Category 5 storm impact: 0.17%.,6.78%,0.17%
Techtronic Industries,Milwaukee Tool Grenada Plant,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 3.63%. Annual probability of Category 5 storm impact: 0.12%.,3.63%,0.12%
Techtronic Industries,Milwaukee Tool Greenwood Plant,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 3.90%. Annual probability of Category 5 storm impact: 0.27%.,3.9%,0.27%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.95%. Annual probability of Category 5 storm impact: 0.049%.,1.95%,0.049%
Techtronic Industries,Milwaukee Tool Clinton Plant,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 6.78%. Annual probability of Category 5 storm impact: 0.17%.,6.78%,0.17%
Techtronic Industries,Milwaukee Tool West Bend,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.44%. Annual probability of Category 5 storm impact: 0.00%.,0.44%,0.0%
Techtronic Industries,Empire Level (Subsidiary),Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.61%. Annual probability of Category 5 storm impact: 0.00%.,0.61%,0.0%
Techtronic Industries,Milwaukee Tool Torreon,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 5.68%. Annual probability of Category 5 storm impact: 0.83%.,5.68%,0.83%
Techtronic Industries,TTI Floor Care N.A.,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 2.48%. Annual probability of Category 5 storm impact: 0.025%.,2.48%,0.025%
Techtronic Industries,TTI Dongguan Hub,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 62.60%. Annual probability of Category 5 storm impact: 3.48%.,62.6%,3.48%
Techtronic Industries,TTI Vietnam (SHTP),Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 8.73%. Annual probability of Category 5 storm impact: 0.17%.,8.73%,0.17%
Techtronic Industries,DreBo Werkzeugfabrik,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Techtronic Industries,Ryobi Die Casting (USA),Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.85%. Annual probability of Category 5 storm impact: 0.00%.,1.85%,0.0%
S.C. Johnson & Son Inc.,Global Corporate HQ,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.77%. Annual probability of Category 5 storm impact: 0.00%.,0.77%,0.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.77%. Annual probability of Category 5 storm impact: 0.00%.,0.77%,0.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.04%. Annual probability of Category 5 storm impact: 0.00%.,1.04%,0.0%
S.C. Johnson & Son Inc.,North America HQ,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.83%. Annual probability of Category 5 storm impact: 0.0093%.,0.83%,0.0093%
S.C. Johnson & Son Inc.,Method Soapbox,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.83%. Annual probability of Category 5 storm impact: 0.0093%.,0.83%,0.0093%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 2.48%. Annual probability of Category 5 storm impact: 0.025%.,2.48%,0.025%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 6.01%. Annual probability of Category 5 storm impact: 0.051%.,6.01%,0.051%
S.C. Johnson & Son Inc.,SCJ Europlant,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
S.C. Johnson & Son Inc.,Rosslyn Factory,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.45%. Annual probability of Category 5 storm impact: 0.010%.,0.45%,0.01%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 32.06%. Annual probability of Category 5 storm impact: 0.12%.,32.06%,0.12%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 8.73%. Annual probability of Category 5 storm impact: 0.17%.,8.73%,0.17%
S.C. Johnson & Son Inc.,LATAM Regional HQ,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.42%. Annual probability of Category 5 storm impact: 0.00%.,0.42%,0.0%
S.C. Johnson & Son Inc.,Pilar Manufacturing,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.30%. Annual probability of Category 5 storm impact: 0.00%.,0.3%,0.0%
S.C. Johnson & Son Inc.,Toluca Plant,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 6.26%. Annual probability of Category 5 storm impact: 0.49%.,6.26%,0.49%
GOJO Industries Inc.,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.21%. Annual probability of Category 5 storm impact: 0.00%.,1.21%,0.0%
GOJO Industries Inc.,Lippman Campus (Stow),Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.21%. Annual probability of Category 5 storm impact: 0.00%.,1.21%,0.0%
GOJO Industries Inc.,Cuyahoga Falls Plant,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.21%. Annual probability of Category 5 storm impact: 0.00%.,1.21%,0.0%
GOJO Industries Inc.,Wooster Facility,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.89%. Annual probability of Category 5 storm impact: 0.039%.,1.89%,0.039%
GOJO Industries Inc.,Maple Heights Plant,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.21%. Annual probability of Category 5 storm impact: 0.00%.,1.21%,0.0%
GOJO Industries Inc.,Ashland Dist. Center,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.69%. Annual probability of Category 5 storm impact: 0.24%.,1.69%,0.24%
GOJO Industries Inc.,Navarre Warehouse,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.89%. Annual probability of Category 5 storm impact: 0.039%.,1.89%,0.039%
GOJO Industries Inc.,GOJO Europe (UK HQ),Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.32%. Annual probability of Category 5 storm impact: 0.00%.,0.32%,0.0%
GOJO Industries Inc.,GOJO France SARL,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
GOJO Industries Inc.,GOJO Australasia,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.15%. Annual probability of Category 5 storm impact: 0.00%.,1.15%,0.0%
GOJO Industries Inc.,GOJO Japan Inc.,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 84.43%. Annual probability of Category 5 storm impact: 0.36%.,84.43%,0.36%
GOJO Industries Inc.,GOJO América Latina,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.44%. Annual probability of Category 5 storm impact: 0.00%.,0.44%,0.0%
GOJO Industries Inc.,GOJO Canada Inc.,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.97%. Annual probability of Category 5 storm impact: 0.00%.,0.97%,0.0%
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 26.76%. Annual probability of Category 5 storm impact: 0.43%.,26.76%,0.43%
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 2.48%. Annual probability of Category 5 storm impact: 0.025%.,2.48%,0.025%
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 4.23%. Annual probability of Category 5 storm impact: 0.00%.,4.23%,0.0%
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 1.33%. Annual probability of Category 5 storm impact: 0.00%.,1.33%,0.0%
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 22.69%. Annual probability of Category 5 storm impact: 0.93%.,22.69%,0.93%
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 62.60%. Annual probability of Category 5 storm impact: 3.48%.,62.6%,3.48%
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 36.68%. Annual probability of Category 5 storm impact: 2.55%.,36.68%,2.55%
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 1.82%. Annual probability of Category 5 storm impact: 0.069%.,1.82%,0.069%
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 26.76%. Annual probability of Category 5 storm impact: 0.43%.,26.76%,0.43%
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.47%. Annual probability of Category 5 storm impact: 0.00%.,1.47%,0.0%
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 11.17%. Annual probability of Category 5 storm impact: 0.40%.,11.17%,0.4%
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 26.76%. Annual probability of Category 5 storm impact: 0.43%.,26.76%,0.43%
Perrigo Company,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Perrigo Company,N. American Corporate HQ,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.41%. Annual probability of Category 5 storm impact: 0.00%.,0.41%,0.0%
Perrigo Company,Allegan Main Campus,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.41%. Annual probability of Category 5 storm impact: 0.00%.,0.41%,0.0%
Perrigo Company,Allegan Water St Plant,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.41%. Annual probability of Category 5 storm impact: 0.00%.,0.41%,0.0%
Perrigo Company,Eau Claire Facility,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.25%. Annual probability of Category 5 storm impact: 0.00%.,0.25%,0.0%
Perrigo Company,PBM Nutritionals (Vermont),Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.48%. Annual probability of Category 5 storm impact: 0.00%.,1.48%,0.0%
Perrigo Company,Perrigo Direct Hub,Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 5.80%. Annual probability of Category 5 storm impact: 0.046%.,5.8%,0.046%
Perrigo Company,Omaha Logistics Center,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.20%. Annual probability of Category 5 storm impact: 0.00%.,0.2%,0.0%
Perrigo Company,Perrigo Israel (Yeruham),Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.15%. Annual probability of Category 5 storm impact: 0.00%.,0.15%,0.0%
Perrigo Company,Perrigo Mexico,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 3.24%. Annual probability of Category 5 storm impact: 0.0055%.,3.24%,0.0055%
Perrigo Company,Wrafton Laboratories (UK),Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.55%. Annual probability of Category 5 storm impact: 0.00%.,0.55%,0.0%
Perrigo Company,Galpharm International,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.81%. Annual probability of Category 5 storm impact: 0.00%.,0.81%,0.0%
Perrigo Company,Rosemont Pharmaceuticals,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.81%. Annual probability of Category 5 storm impact: 0.00%.,0.81%,0.0%
Perrigo Company,HRA Pharma Global HQ,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
Perrigo Company,HRA Pharma US,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 4.23%. Annual probability of Category 5 storm impact: 0.00%.,4.23%,0.0%
The Hain Celestial Group,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 4.23%. Annual probability of Category 5 storm impact: 0.00%.,4.23%,0.0%
The Hain Celestial Group,Celestial Seasonings,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.30%. Annual probability of Category 5 storm impact: 0.00%.,0.3%,0.0%
The Hain Celestial Group,Hain Personal Care Hub,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 22.69%. Annual probability of Category 5 storm impact: 0.93%.,22.69%,0.93%
The Hain Celestial Group,Hain Celestial Canada HQ,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.97%. Annual probability of Category 5 storm impact: 0.00%.,0.97%,0.0%
The Hain Celestial Group,Mississauga Facility,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.97%. Annual probability of Category 5 storm impact: 0.00%.,0.97%,0.0%
The Hain Celestial Group,Hain Daniels (Fakenham),Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Hain Daniels (Histon),Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Fresh Innovation Centre,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Ella’s Kitchen HQ,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Natumi GmbH,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
The Hain Celestial Group,Mona Naturprodukte (Joya),Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
The Hain Celestial Group,Cully & Sully,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.59%. Annual probability of Category 5 storm impact: 0.00%.,1.59%,0.0%
The Hain Celestial Group,Yorkshire Provender,Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.42%. Annual probability of Category 5 storm impact: 0.00%.,0.42%,0.0%
ZURU LLC.,ZURU Global HQ,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 56.22%. Annual probability of Category 5 storm impact: 3.39%.,56.22%,3.39%
ZURU LLC.,ZURU US Flagship Campus,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 60.64%. Annual probability of Category 5 storm impact: 0.00%.,60.64%,0.0%
ZURU LLC.,ZURU Shenzhen Hub,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 56.22%. Annual probability of Category 5 storm impact: 3.39%.,56.22%,3.39%
ZURU LLC.,ZURU Huizhou Smart Factory,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 49.46%. Annual probability of Category 5 storm impact: 1.38%.,49.46%,1.38%
