supplier_name,facility_name,risk_type,risk_level,timeframe,context
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Coastal Flooding,High,Baseline,"Facility falls within the 1-in-100-year coastal flood extent, indicating exposure to serious inundation risk during extreme sea-level events."
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Coastal Flooding,High,Baseline,"Facility falls within the 1-in-100-year coastal flood extent, indicating exposure to serious inundation risk during extreme sea-level events."
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Coastal Flooding,Medium,Baseline,"Facility falls within the 1-in-1000-year coastal flood extent, indicating exposure to serious inundation risk during extreme sea-level events."
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,N. American Corporate HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Allegan Main Campus,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Allegan Water St Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Eau Claire Facility,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,PBM Nutritionals (Vermont),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Perrigo Direct Hub,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Omaha Logistics Center,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Perrigo Israel (Yeruham),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Perrigo Mexico,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Wrafton Laboratories (UK),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Galpharm International,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,Rosemont Pharmaceuticals,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,HRA Pharma Global HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
Perrigo Company,HRA Pharma US,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Celestial Seasonings,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Hain Personal Care Hub,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Hain Celestial Canada HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Mississauga Facility,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Hain Daniels (Fakenham),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Hain Daniels (Histon),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Fresh Innovation Centre,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Ella’s Kitchen HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Natumi GmbH,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Mona Naturprodukte (Joya),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Cully & Sully,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
The Hain Celestial Group,Yorkshire Provender,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Global HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU US Flagship Campus,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Shenzhen Hub,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Huizhou Smart Factory,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Guangzhou Plant,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU New Zealand HQ,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Tech Italy (Modena),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Tech India (Ahmedabad),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Tech India (Kolkata),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Bentonville Office,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Tech Italy (Milan),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
ZURU LLC.,ZURU Dongguan Tech Center,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,JPMS Creative Center,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,Santa Clarita DC,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,The Awapuhi Farm,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,JPMS UK (Salon Success),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,JPMS European Hub,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,Pro-motive (Subsidiary),Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
John Paul Mitchell Systems,Distribution Center East,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.",Global Headquarters,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.",Melville Manufacturing,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.","The ""Pharma-Lab""",Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.",Melville Distribution,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.",Amityville Facility,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.",Nature’s Plus UK,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
"Natural Organics, Inc.",Euro-Nutrition Hub,Coastal Flooding,Negligible,Baseline,Facility falls outside all modelled coastal flood return periods. No material coastal inundation risk at this location under historical sea-level conditions.
