supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"S.C. Johnson & Son, Inc.",North America HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Waste Water,High,High,Stable,Within 12 Months,High wastewater discharge risk persists within the 12-month horizon. No material regulatory or operational changes anticipated within this period.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"S.C. Johnson & Son, Inc.",Toluca Plant,Waste Water,High,High,Stable,Within 12 Months,High wastewater discharge risk persists within the 12-month horizon. No material regulatory or operational changes anticipated within this period.
"GOJO Industries, Inc.",Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",Lippman Campus (Stow),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",Wooster Facility,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"GOJO Industries, Inc.",Maple Heights Plant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",Ashland Dist. Center,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"GOJO Industries, Inc.",Navarre Warehouse,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",GOJO France SARL,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",GOJO Australasia,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",GOJO América Latina,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"GOJO Industries, Inc.",GOJO Canada Inc.,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Perrigo Company,Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Perrigo Company,N. American Corporate HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Perrigo Company,Allegan Main Campus,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Perrigo Company,Allegan Water St Plant,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Perrigo Company,Eau Claire Facility,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Perrigo Company,PBM Nutritionals (Vermont),Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
Perrigo Company,Perrigo Direct Hub,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Perrigo Company,Omaha Logistics Center,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Perrigo Company,Perrigo Israel (Yeruham),Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Perrigo Company,Perrigo Mexico,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
Perrigo Company,Wrafton Laboratories (UK),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Perrigo Company,Galpharm International,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Perrigo Company,Rosemont Pharmaceuticals,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
Perrigo Company,HRA Pharma Global HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
Perrigo Company,HRA Pharma US,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Celestial Seasonings,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
The Hain Celestial Group,Hain Personal Care Hub,Waste Water,Critical,High,Stable,Within 12 Months,Wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would reduce the risk of polluting effluents entering a highly sensitive water basin.
The Hain Celestial Group,Hain Celestial Canada HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Mississauga Facility,Waste Water,High,High,Stable,Within 12 Months,High wastewater discharge risk persists within the 12-month horizon. No material regulatory or operational changes anticipated within this period.
The Hain Celestial Group,Hain Daniels (Fakenham),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Hain Daniels (Histon),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Fresh Innovation Centre,Waste Water,High,High,Stable,Within 12 Months,High wastewater discharge risk persists within the 12-month horizon. No material regulatory or operational changes anticipated within this period.
The Hain Celestial Group,Ella’s Kitchen HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Natumi GmbH,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Mona Naturprodukte (Joya),Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Cully & Sully,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
The Hain Celestial Group,Yorkshire Provender,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Global HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU US Flagship Campus,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Shenzhen Hub,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Huizhou Smart Factory,Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
ZURU LLC.,ZURU Guangzhou Plant,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU New Zealand HQ,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Tech Italy (Modena),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Tech India (Ahmedabad),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Tech India (Kolkata),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Bentonville Office,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Tech Italy (Milan),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
ZURU LLC.,ZURU Dongguan Tech Center,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
John Paul Mitchell Systems,Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
John Paul Mitchell Systems,JPMS Creative Center,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
John Paul Mitchell Systems,Santa Clarita DC,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
John Paul Mitchell Systems,The Awapuhi Farm,Waste Water,Very Low,High,Stable,Within 12 Months,Wastewater risk remains very low within this horizon. No material change in basin water stress or facility operations anticipated over 12 months.
John Paul Mitchell Systems,JPMS UK (Salon Success),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
John Paul Mitchell Systems,JPMS European Hub,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
John Paul Mitchell Systems,Pro-motive (Subsidiary),Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
John Paul Mitchell Systems,Distribution Center East,Waste Water,Low,High,Stable,Within 12 Months,Low wastewater discharge risk is expected to persist within this horizon. Basin water stress conditions are not expected to change materially over 12 months.
"Natural Organics, Inc.",Global Headquarters,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
"Natural Organics, Inc.",Melville Manufacturing,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"Natural Organics, Inc.","The ""Pharma-Lab""",Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"Natural Organics, Inc.",Melville Distribution,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"Natural Organics, Inc.",Amityville Facility,Waste Water,Very High,High,Stable,Within 12 Months,Very high wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"Natural Organics, Inc.",Nature’s Plus UK,Waste Water,Medium,High,Stable,Within 12 Months,Medium wastewater discharge risk persists within the 12-month horizon. No regulatory or operational changes anticipated that would materially reduce risk.
"Natural Organics, Inc.",Euro-Nutrition Hub,Waste Water,Negligible,High,Stable,Within 12 Months,No significant wastewater discharge risk within this horizon. Facility type and basin conditions are not expected to change materially over 12 months.
