supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,child_labour_rate_pct,school_attendance_rate_pct,ilab_tvpra_listing_score,regulatory_framework_strength,enforcement_effectiveness,composite_risk_score_delta,projected_trend,change_probability,key_risk_driver,context,monitoring_signals
Techtronic Industries,Milwaukee Tool Clinton Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool West Bend,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Empire Level (Subsidiary),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Milwaukee Tool Torreon,Child Labour,Medium,High,Stable,Within 12 Months,4.3,96.9,1.0,0.0,0.5,-0.153524802299151,Stable,Medium,USMCA Chapter 23 labour reform,ILO-funded rapid response mechanism and USMCA Chapter 23 complaints process maintains pressure on child labour enforcement; reform trajectory stable.,USMCA RRM complaint filings; STPS worksite inspection frequency
Techtronic Industries,TTI Floor Care N.A.,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,TTI Dongguan Hub,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
Techtronic Industries,TTI Vietnam (SHTP),Child Labour,High,Medium,Stable,Within 12 Months,3.5,97.1,1.0,0.0,0.5,0.1524,Improving,Medium,TVPRA list / EVFTA labour chapter reform,"ILAB TVPRA list: garments, fish sauce, sugarcane. UNICEF ~3.5% children in economic activity. EVFTA labour conditionality creating reform incentive; 2023 Labour Code amendments partially address child labour gaps.",EVFTA joint committee labour reports; MOLISA child labour inspection data
Techtronic Industries,DreBo Werkzeugfabrik,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Techtronic Industries,Ryobi Die Casting (USA),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",Waxdale Facility,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",North America HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",SCJ Europlant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Child Labour,High,High,Stable,Within 12 Months,15.0,97.4,1.0,0.0,0.5,0.2158123377316247,Stable,Medium,Persistent informal economy child labour,South Africa's informal agricultural and domestic sectors sustain elevated child labour exposure; enforcement patchy outside formal manufacturing.,SALDRU child poverty surveys; DoL inspection reports
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Child Labour,High,Medium,Stable,Within 12 Months,3.5,97.1,1.0,0.0,0.5,0.1524,Improving,Medium,TVPRA list / EVFTA labour chapter reform,"ILAB TVPRA list: garments, fish sauce, sugarcane. UNICEF ~3.5% children in economic activity. EVFTA labour conditionality creating reform incentive; 2023 Labour Code amendments partially address child labour gaps.",EVFTA joint committee labour reports; MOLISA child labour inspection data
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Child Labour,Medium,High,Stable,Within 12 Months,5.3,98.9,1.0,0.0,0.0,-0.0363147254622316,Deteriorating,Low,Milei economic shock increasing informal child labour risk,UNICEF Argentina data shows ~8% children in informal economic activity; stable formal enforcement but Milei fiscal austerity cutting social protection.,AUH beneficiary count; INDEC child poverty rate
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Child Labour,Medium,High,Stable,Within 12 Months,5.3,98.9,1.0,0.0,0.0,-0.0363147254622316,Deteriorating,Low,Milei economic shock increasing informal child labour risk,UNICEF Argentina data shows ~8% children in informal economic activity; stable formal enforcement but Milei fiscal austerity cutting social protection.,AUH beneficiary count; INDEC child poverty rate
"S.C. Johnson & Son, Inc.",Toluca Plant,Child Labour,Medium,High,Stable,Within 12 Months,4.3,96.9,1.0,0.0,0.5,-0.153524802299151,Stable,Medium,USMCA Chapter 23 labour reform,ILO-funded rapid response mechanism and USMCA Chapter 23 complaints process maintains pressure on child labour enforcement; reform trajectory stable.,USMCA RRM complaint filings; STPS worksite inspection frequency
"GOJO Industries, Inc.",Global Headquarters,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",Lippman Campus (Stow),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",Wooster Facility,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",Maple Heights Plant,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",Ashland Dist. Center,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",Navarre Warehouse,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",GOJO France SARL,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",GOJO Australasia,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.","GOJO Japan, Inc.",Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
"GOJO Industries, Inc.",GOJO América Latina,Child Labour,Medium,High,Stable,Within 12 Months,2.1,98.6,1.0,0.0,0.0,-0.0162508392371201,Stable,Low,Lula social protection restoration,Brazil historically ~3% child labour (PNAD survey); Lula restoration of Bolsa Família / BPC programmes stabilising trajectory after Bolsonaro-era erosion.,Bolsa Família beneficiary count; MTE child labour inspection reports
"GOJO Industries, Inc.",GOJO Canada Inc.,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Child Labour,High,Medium,Stable,Within 12 Months,3.5,97.1,1.0,0.0,0.5,0.1524,Improving,Medium,TVPRA list / EVFTA labour chapter reform,"ILAB TVPRA list: garments, fish sauce, sugarcane. UNICEF ~3.5% children in economic activity. EVFTA labour conditionality creating reform incentive; 2023 Labour Code amendments partially address child labour gaps.",EVFTA joint committee labour reports; MOLISA child labour inspection data
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Child Labour,High,High,Stable,Within 12 Months,13.0,96.3,1.0,0.0,0.0,0.1695716566970375,Stable,Medium,Migrant child labour in manufacturing and agriculture,ILO estimates ~4% children in economic activity; migrant labour from Myanmar and Cambodia includes children in agriculture and informal manufacturing; formal sector inspection coverage relatively strong.,ILO Better Work Thailand compliance audits; Myanmar refugee child count
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Child Labour,High,Medium,Stable,Within 12 Months,4.0,96.8,1.0,0.0,0.5,0.0987,Stable,High,UFLPA / TVPRA Xinjiang forced child labour,"UFLPA rebuttable presumption covers all Xinjiang goods; ILAB TVPRA list includes electronics, textiles, toys, manufactured goods from China. No evidence of enforcement reform within 12-month horizon.",UFLPA entity list additions; EU FLR enforcement notices; ILAB TVPRA list update
Perrigo Company,Global Headquarters,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
Perrigo Company,N. American Corporate HQ,Child Labour,Very Low,High,Stable,Within 12 Months,0.5,99.5,0.0,1.0,1.0,-0.75,Stable,Low,Robust regulatory framework; not on ILAB/UNICEF child labour lists,No child labour risk signals within 12 months. Country not present in ILAB TVPRA worst forms list or UNICEF child labour dataset.,Regulatory changes to compulsory education age; ILO CEACR observations
