supplier_name,facility_name,risk_type,risk_level,timeframe,impact_type,risk_description,primary_restriction_instrument,secondary_restriction_instrument,importing_jurisdiction,source_country_or_region,context,product_linkage
Techtronic Industries,TTI Vietnam (SHTP),Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Vietnam,"Impact classification: Disruption (USA). Source: Vietnam. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Timber is used in the handles of non-powered hand tools (chisels, mallets, hammers, saws) that are typically manufactured alongside electric tool lines. Baseline risk level: Already happening.","Timber is used in the handles of non-powered hand tools (chisels, mallets, hammers, saws) that are typically manufactured alongside electric tool lines."
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Caustic soda (NaOH) is a primary active ingredient in many industrial and household cleaning preparations, including drain cleaners, degreasers, and disinfectants. Baseline risk level: Already happening.","Caustic soda (NaOH) is a primary active ingredient in many industrial and household cleaning preparations, including drain cleaners, degreasers, and disinfectants."
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Hair products (shampoos, conditioners) share the same surfactant and chemical supply chains as cleaning preparations; both product categories are produced by the same types of facilities using overlapping raw material inputs. Baseline risk level: Already happening.","Hair products (shampoos, conditioners) share the same surfactant and chemical supply chains as cleaning preparations; both product categories are produced by the same types of facilities using overlapping raw material inputs."
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Vietnam,"Impact classification: Disruption (USA). Source: Vietnam. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Sugarcane is processed into ethanol and sucrose-derived surfactants (e.g. decyl glucoside, sucrose esters) that are direct inputs into cleaning preparation formulations. Baseline risk level: Already happening.","Sugarcane is processed into ethanol and sucrose-derived surfactants (e.g. decyl glucoside, sucrose esters) that are direct inputs into cleaning preparation formulations."
"S.C. Johnson & Son, Inc.",Toluca Plant,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Mexico,Impact classification: Disruption (USA). Source: Mexico. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Sugarcane is processed into bioethanol and subsequently into bio-based PLA (polylactic acid) plastics used in sustainable packaging production. Baseline risk level: Already happening.,Sugarcane is processed into bioethanol and subsequently into bio-based PLA (polylactic acid) plastics used in sustainable packaging production.
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Beef tallow is a traditional and commercially significant feedstock for soap and surfactant manufacturing, providing fatty acid chains essential to saponification. Baseline risk level: Already happening.","Beef tallow is a traditional and commercially significant feedstock for soap and surfactant manufacturing, providing fatty acid chains essential to saponification."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Cattle-derived tallow is a primary animal fat input for soap and organic surfactant production via saponification. Baseline risk level: Already happening.,Cattle-derived tallow is a primary animal fat input for soap and organic surfactant production via saponification.
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Activated charcoal is an ingredient in charcoal-infused soaps and cleansing bars, a well-established product category in the soap manufacturing sector. Baseline risk level: Already happening.","Activated charcoal is an ingredient in charcoal-infused soaps and cleansing bars, a well-established product category in the soap manufacturing sector."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Cocoa butter is a widely used vegetable fat in soap and surfactant formulations, prized for its skin-conditioning and lathering properties. Baseline risk level: Already happening.","Cocoa butter is a widely used vegetable fat in soap and surfactant formulations, prized for its skin-conditioning and lathering properties."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Corn starch and corn-derived glucose are feedstocks for glucoside surfactants (e.g. coco glucoside, decyl glucoside) used in soap and organic surfactant products. Baseline risk level: Already happening.","Corn starch and corn-derived glucose are feedstocks for glucoside surfactants (e.g. coco glucoside, decyl glucoside) used in soap and organic surfactant products."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Cottonseed oil is a vegetable oil feedstock used in soap manufacturing and as a base for organic surfactant formulations. Baseline risk level: Already happening.,Cottonseed oil is a vegetable oil feedstock used in soap manufacturing and as a base for organic surfactant formulations.
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Fish oil is used as a fatty acid feedstock in some soap and surfactant formulations, particularly in industrial and specialty soap production. Baseline risk level: Already happening.","Fish oil is used as a fatty acid feedstock in some soap and surfactant formulations, particularly in industrial and specialty soap production."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Lard (pig fat) is a traditional animal fat feedstock in soap manufacturing, providing fatty acids for saponification reactions. Baseline risk level: Already happening.","Lard (pig fat) is a traditional animal fat feedstock in soap manufacturing, providing fatty acids for saponification reactions."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Rice bran oil is used as a vegetable oil input in soap and surfactant production, valued for its emollient and emulsifying properties. Baseline risk level: Already happening.","Rice bran oil is used as a vegetable oil input in soap and surfactant production, valued for its emollient and emulsifying properties."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Lanolin, derived from sheep wool, is a key ingredient in soap, surfactants, and personal care formulations for its emulsifying and moisturising properties. Baseline risk level: Already happening.","Lanolin, derived from sheep wool, is a key ingredient in soap, surfactants, and personal care formulations for its emulsifying and moisturising properties."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Sugarcane is processed into ethanol and sucrose-derived surfactants that are standard inputs in soap and organic surfactant manufacturing. Baseline risk level: Already happening.,Sugarcane is processed into ethanol and sucrose-derived surfactants that are standard inputs in soap and organic surfactant manufacturing.
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Cattle-derived tallow is a primary animal fat input for soap and organic surfactant production via saponification. Baseline risk level: Already happening.,Cattle-derived tallow is a primary animal fat input for soap and organic surfactant production via saponification.
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,"Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Activated charcoal is an ingredient in charcoal-infused soaps and cleansing bars, a well-established product category in the soap manufacturing sector. Baseline risk level: Already happening.","Activated charcoal is an ingredient in charcoal-infused soaps and cleansing bars, a well-established product category in the soap manufacturing sector."
"GOJO Industries, Inc.",GOJO América Latina,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,Brazil,Impact classification: Disruption (USA). Source: Brazil. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Sugarcane is processed into ethanol and sucrose-derived surfactants that are standard inputs in soap and organic surfactant manufacturing. Baseline risk level: Already happening.,Sugarcane is processed into ethanol and sucrose-derived surfactants that are standard inputs in soap and organic surfactant manufacturing.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,"Restricted Goods - Rebuttable presumption that goods made wholly or in part in Xinjiang are produced with forced labor (cotton, yarn, textiles, apparel). CBP WROs target cotton and related products.",Already happening,Baseline,Disruption,"High risk — recommended procurement exclusion unless full, documented, verifiable chain-of-custody and testing/audits can rebut the presumption.",Uyghur Forced Labor Prevention Act (UFLPA); CBP Withhold-Release Orders (WROs),CBP UFLPA page (https://www.cbp.gov/trade/forced-labor/UFLPA); CBP WRO (Jan 13 2021) (https://www.cbp.gov/newsroom/national-media-release/cbp-issues-region-wide-withhold-release-order-products-made-slave),USA,"Xinjiang Uyghur Autonomous Region (XUAR), China","Impact classification: Disruption (USA). Source: Xinjiang Uyghur Autonomous Region (XUAR), China. Applicable restriction(s): Uyghur Forced Labor Prevention Act (UFLPA); CBP Withhold-Release Orders (WROs); CBP UFLPA page (https://www.cbp.gov/trade/forced-labor/UFLPA); CBP WRO (Jan 13 2021) (https://www.cbp.gov/newsroom/national-media-release/cbp-issues-region-wide-withhold-release-order-products-made-slave). High risk — recommended procurement exclusion unless full, documented, verifiable chain-of-custody and testing/audits can rebut the presumption. Product linkage: All textile types are potential upholstery and covering inputs across the range of furniture products in this category. Baseline risk level: Already happening.",All textile types are potential upholstery and covering inputs across the range of furniture products in this category.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Cotton is used in furniture upholstery, cushion filling, and fabric covering for sofas, chairs, and padded furniture. Baseline risk level: Already happening.","Cotton is used in furniture upholstery, cushion filling, and fabric covering for sofas, chairs, and padded furniture."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Child Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Textiles are a direct upholstery and covering input in sofas, chairs, headboards, and other upholstered furniture. Baseline risk level: Already happening.","Textiles are a direct upholstery and covering input in sofas, chairs, headboards, and other upholstered furniture."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Aluminium is used in furniture frames, legs, brackets, and structural components across modern furniture manufacturing. Baseline risk level: Already happening.","Aluminium is used in furniture frames, legs, brackets, and structural components across modern furniture manufacturing."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Coking coal is an input in the steel production used for furniture frames, brackets, and metal structural elements. Baseline risk level: Already happening.","Coking coal is an input in the steel production used for furniture frames, brackets, and metal structural elements."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Cotton is used in furniture upholstery, cushion filling, and fabric covering for sofas, chairs, and padded furniture. Baseline risk level: Already happening.","Cotton is used in furniture upholstery, cushion filling, and fabric covering for sofas, chairs, and padded furniture."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Nails and metal fasteners are direct construction inputs in wooden and flat-pack furniture manufacturing. Baseline risk level: Already happening.,Nails and metal fasteners are direct construction inputs in wooden and flat-pack furniture manufacturing.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: PVC is used in furniture trim, edging, upholstery materials, and protective coatings in furniture manufacturing. Baseline risk level: Already happening.","PVC is used in furniture trim, edging, upholstery materials, and protective coatings in furniture manufacturing."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,"Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Textiles are a direct upholstery and covering input in sofas, chairs, headboards, and other upholstered furniture. Baseline risk level: Already happening.","Textiles are a direct upholstery and covering input in sofas, chairs, headboards, and other upholstered furniture."
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Restricted Goods - Forced Labor,Already happening,Baseline,Disruption,Extra scrutiny required to ensure that product from this source does not contain social risks,ILAB 'List of Goods Produced by Child Labor or Forced Labor,ILAB 'List of Goods Produced by Child Labor or Forced Labor,USA,China,Impact classification: Disruption (USA). Source: China. Applicable restriction(s): ILAB 'List of Goods Produced by Child Labor or Forced Labor. Extra scrutiny required to ensure that product from this source does not contain social risks. Product linkage: Thread is used in the upholstery stitching and fabric assembly of padded and upholstered furniture. Baseline risk level: Already happening.,Thread is used in the upholstery stitching and fabric assembly of padded and upholstered furniture.
