,supplier_name,facility_name,risk_type,risk_level,timeframe,grid_carbon_intensity_change
62,Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Grid Mix,low,Within 12 Months,0.3%
63,Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Grid Mix,very_low,Within 12 Months,-1.3%
64,Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Grid Mix,low,Within 12 Months,0.6%
65,Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Grid Mix,low,Within 12 Months,1.8%
66,Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Grid Mix,low,Within 12 Months,0.4%
67,Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Grid Mix,low,Within 12 Months,0.6%
68,Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Grid Mix,very_low,Within 12 Months,-1.5%
69,Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Grid Mix,low,Within 12 Months,0.6%
70,Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Grid Mix,low,Within 12 Months,0.6%
71,Perrigo Company,Global Headquarters,Grid Mix,low,Within 12 Months,-0.2%
72,Perrigo Company,N. American Corporate HQ,Grid Mix,very_low,Within 12 Months,-1.5%
73,Perrigo Company,Allegan Main Campus,Grid Mix,very_low,Within 12 Months,-1.5%
74,Perrigo Company,Allegan Water St Plant,Grid Mix,very_low,Within 12 Months,-1.5%
75,Perrigo Company,Eau Claire Facility,Grid Mix,very_low,Within 12 Months,-1.5%
76,Perrigo Company,PBM Nutritionals (Vermont),Grid Mix,very_low,Within 12 Months,-1.5%
77,Perrigo Company,Perrigo Direct Hub,Grid Mix,very_low,Within 12 Months,-1.5%
78,Perrigo Company,Omaha Logistics Center,Grid Mix,very_low,Within 12 Months,-1.5%
79,Perrigo Company,Perrigo Israel (Yeruham),Grid Mix,low,Within 12 Months,0.9%
80,Perrigo Company,Perrigo Mexico,Grid Mix,low,Within 12 Months,0.7%
81,Perrigo Company,Wrafton Laboratories (UK),Grid Mix,low,Within 12 Months,-0.5%
82,Perrigo Company,Galpharm International,Grid Mix,low,Within 12 Months,-0.5%
83,Perrigo Company,Rosemont Pharmaceuticals,Grid Mix,low,Within 12 Months,-0.5%
84,Perrigo Company,HRA Pharma Global HQ,Grid Mix,very_low,Within 12 Months,-0.8%
85,Perrigo Company,HRA Pharma US,Grid Mix,very_low,Within 12 Months,-1.5%
86,The Hain Celestial Group,Global Headquarters,Grid Mix,very_low,Within 12 Months,-1.5%
87,The Hain Celestial Group,Celestial Seasonings,Grid Mix,very_low,Within 12 Months,-1.5%
88,The Hain Celestial Group,Hain Personal Care Hub,Grid Mix,very_low,Within 12 Months,-1.5%
89,The Hain Celestial Group,Hain Celestial Canada HQ,Grid Mix,low,Within 12 Months,-0.3%
90,The Hain Celestial Group,Mississauga Facility,Grid Mix,low,Within 12 Months,-0.3%
91,The Hain Celestial Group,Hain Daniels (Fakenham),Grid Mix,low,Within 12 Months,-0.5%
92,The Hain Celestial Group,Hain Daniels (Histon),Grid Mix,low,Within 12 Months,-0.5%
93,The Hain Celestial Group,Fresh Innovation Centre,Grid Mix,low,Within 12 Months,-0.5%
94,The Hain Celestial Group,Ella’s Kitchen HQ,Grid Mix,low,Within 12 Months,-0.5%
95,The Hain Celestial Group,Natumi GmbH,Grid Mix,very_low,Within 12 Months,-1.3%
96,The Hain Celestial Group,Mona Naturprodukte (Joya),Grid Mix,low,Within 12 Months,-0.0%
97,The Hain Celestial Group,Cully & Sully,Grid Mix,low,Within 12 Months,-0.2%
98,The Hain Celestial Group,Yorkshire Provender,Grid Mix,low,Within 12 Months,-0.5%
99,ZURU LLC.,ZURU Global HQ,Grid Mix,low,Within 12 Months,0.8%
100,ZURU LLC.,ZURU US Flagship Campus,Grid Mix,very_low,Within 12 Months,-1.5%
101,ZURU LLC.,ZURU Shenzhen Hub,Grid Mix,low,Within 12 Months,0.6%
102,ZURU LLC.,ZURU Huizhou Smart Factory,Grid Mix,low,Within 12 Months,0.6%
103,ZURU LLC.,ZURU Guangzhou Plant,Grid Mix,low,Within 12 Months,0.6%
104,ZURU LLC.,ZURU New Zealand HQ,Grid Mix,low,Within 12 Months,1.0%
105,ZURU LLC.,ZURU Tech Italy (Modena),Grid Mix,low,Within 12 Months,0.1%
106,ZURU LLC.,ZURU Tech India (Ahmedabad),Grid Mix,medium,Within 12 Months,2.0%
107,ZURU LLC.,ZURU Tech India (Kolkata),Grid Mix,medium,Within 12 Months,2.0%
108,ZURU LLC.,ZURU Bentonville Office,Grid Mix,very_low,Within 12 Months,-1.5%
109,ZURU LLC.,ZURU Tech Italy (Milan),Grid Mix,low,Within 12 Months,0.1%
110,ZURU LLC.,ZURU Dongguan Tech Center,Grid Mix,low,Within 12 Months,0.6%
111,John Paul Mitchell Systems,Global Headquarters,Grid Mix,very_low,Within 12 Months,-1.5%
112,John Paul Mitchell Systems,JPMS Creative Center,Grid Mix,very_low,Within 12 Months,-1.5%
113,John Paul Mitchell Systems,Santa Clarita DC,Grid Mix,very_low,Within 12 Months,-1.5%
114,John Paul Mitchell Systems,The Awapuhi Farm,Grid Mix,very_low,Within 12 Months,-1.5%
115,John Paul Mitchell Systems,JPMS UK (Salon Success),Grid Mix,low,Within 12 Months,-0.5%
116,John Paul Mitchell Systems,JPMS European Hub,Grid Mix,low,Within 12 Months,0.3%
117,John Paul Mitchell Systems,Pro-motive (Subsidiary),Grid Mix,very_low,Within 12 Months,-1.5%
118,John Paul Mitchell Systems,Distribution Center East,Grid Mix,very_low,Within 12 Months,-1.5%
119,"Natural Organics, Inc.",Global Headquarters,Grid Mix,very_low,Within 12 Months,-1.5%
120,"Natural Organics, Inc.",Melville Manufacturing,Grid Mix,very_low,Within 12 Months,-1.5%
121,"Natural Organics, Inc.","The ""Pharma-Lab""",Grid Mix,very_low,Within 12 Months,-1.5%
122,"Natural Organics, Inc.",Melville Distribution,Grid Mix,very_low,Within 12 Months,-1.5%
123,"Natural Organics, Inc.",Amityville Facility,Grid Mix,very_low,Within 12 Months,-1.5%
124,"Natural Organics, Inc.",Nature’s Plus UK,Grid Mix,low,Within 12 Months,-0.5%
125,"Natural Organics, Inc.",Euro-Nutrition Hub,Grid Mix,very_low,Within 12 Months,-0.9%
